,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,predicted
158,158,Italy,"baked plum , asian spice , vanilla menthol aromas carry nose . elegantly structured palate offers fleshy black cherry , licorice , mint well-integrated french oak alongside fine-grained tannins lend firm , polished support . coffee note marks finish .",Bellezza Gran Selezione,91,38.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Castello di Gabbiano,1
695,695,Italy,"aromas violet , iris , forest floor , woodland berry allspice lead nose structured , savory . concentrated palate delivers ripe black cherry , mocha , clove , tobacco licorice alongside velvety tannins fresh acidity . 's firm well balanced .",Riserva Ducale Oro Gran Selezione,91,43.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico),Red Blend,Ruffino,1
1454,1454,Italy,"baked plum , baking spice , blue flower pipe tobacco meld together earthy aromas new leather whiff underbrush impressive . firmly structured palate offers dried black cherry , blackberry jam , dark chocolate star anise . firm velvety tannins envelope palate . drink 2019–2029 .",Campolongo di Torbe,94,154.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Masi 2009 Campolongo di Torbe  (Amarone della Valpolicella Classico),Red Blend,Masi,1
2198,2198,Italy,"aromas ripe black plum , underbrush exotic spice come together brawny red . firm palate offers black cherry extract , blackberry jam , licorice mocha alongside chewy tannins .",,88,50.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Santi 2010  Amarone della Valpolicella Classico,Red Blend,Santi,1
2804,2804,Italy,"bright aromas woodland berry , tilled earth violet waft glass . vibrant palate offers crunchy red cherry , unripe strawberry hint anise accompanied racy acidity firm tannins .",,87,,Tuscany,Chianti,,Kerin O’Keefe,@kerinokeefe,Agricola Pugliano 2013  Chianti,Red Blend,Agricola Pugliano,1
2815,2815,Italy,"earthy expression sangiovese 10 % colorino funky aromas scorched soil , truffle game . palate offers dried black cherry , toast , clove truffle note . round somewhat fleeting tannins provide easy-drinking framework . drink 2015 .",,86,18.0,Tuscany,Chianti Montespertoli,,Kerin O’Keefe,@kerinokeefe,Le Fonti a San Giorgio 2011  Chianti Montespertoli,Red Blend,Le Fonti a San Giorgio,1
2820,2820,Italy,"aromas underbrush , toast dark-skinned lead nose easy-drinking red . bright , informal palate offers red cherry , pomegranate hint white pepper alongside zesty acidity .",Al Canapo,86,15.0,Tuscany,Chianti Colli Senesi,,Kerin O’Keefe,@kerinokeefe,Bindi Sergardi 2013 Al Canapo  (Chianti Colli Senesi),Sangiovese,Bindi Sergardi,1
3248,3248,Italy,"aromas toast , milk chocolate black-skinned lead way . soft , low-acid palate doles crushed plum , fleshy cherry mocha alongside drying , angular tannins create abrupt finish .",Riserva,86,18.0,Tuscany,Chianti,,Kerin O’Keefe,@kerinokeefe,Viticoltori Senesi Aretini 2009 Riserva  (Chianti),Sangiovese,Viticoltori Senesi Aretini,1
3253,3253,Italy,"sangiovese 10 % merlot aromas forest floor , ripe blackberry , cedar menthol . warm , evolved palate offers dried black cherry , licorice , mint , ground pepper gamy note alongside assertive , almost gritty tannins leave astringent finish .",Ceppeto Riserva,86,31.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Mannucci Droandi 2009 Ceppeto Riserva  (Chianti Classico),Red Blend,Mannucci Droandi,1
3255,3255,Italy,"'s bright , informal red offers sour cherry , red berry light note cooking spice . lively acidity soft , rather fleeting tannins give easy-drinking quality .",,86,13.0,Tuscany,Chianti Rufina,,Kerin O’Keefe,@kerinokeefe,Travignoli 2013  Chianti Rufina,Sangiovese,Travignoli,1
4480,4480,Italy,"inviting aromas molten chocolate , plum cake , purple flower baking spice take shape glass along whiff underbrush . dense palate offers blackberry extract , cassis , licorice chewing tobacco alongside firm , fine-grained tannins . finishes confectionery note . drink 2018–2025 .",Il Lussurioso Riserva,91,60.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Buglioni 2011 Il Lussurioso Riserva  (Amarone della Valpolicella Classico),Red Blend,Buglioni,1
4838,4838,Italy,"subdued aromas blackberry , grilled herb hint menthol lead way . straightforward , easy-drinking palate offers mature black cherry , coffee hint brown spice alongside soft , round tannins . enjoy 2017 .",Riserva,87,20.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Piccini 2011 Riserva  (Chianti Classico),Red Blend,Piccini,1
4846,4846,Italy,"lively straightforward , aromas red berry , moist earth hint chopped herb . tart , easygoing palate offers juicy marasca cherry dash white pepper alongside zesty acidity .",,87,19.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Carpineto 2014  Chianti Classico,Red Blend,Carpineto,1
4847,4847,Italy,"aromas grilled herb , french oak , scorched earth menthol lead nose . juicy , accessible palate offers morello cherry , vanilla , orange peel hint mocha alongside fine-grained rather fleeting tannins . drink 2017 .",Vignalaparco,87,,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Casa Emma 2012 Vignalaparco  (Chianti Classico),Red Blend,Casa Emma,1
4850,4850,Italy,"pretty scents woodland berry , fragrant purple flower baking spice float glass . vibrant , straightforward palate offers crushed wild cherry , white pepper hint star anise alongside bright acidity sleek tannins .",,87,19.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello d'Albola 2013  Chianti Classico,Red Blend,Castello d'Albola,1
4851,4851,Italy,"vibrant red red berry , new leather fresh herb aromas meld together . sleek , light-bodied palate offers juicy wild cherry , cinnamon hint star anise set racy acidity fine-grained tannins .",,87,26.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Verrazzano 2013  Chianti Classico,Red Blend,Castello di Verrazzano,1
4857,4857,Italy,"aromas dark-skinned berry , moist earth balsamic note menthol waft glass . tart , vibrant palate offers sour cherry star anise framed racy acidity austere tannins .",Gherardino Riserva,87,32.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Vignamaggio 2013 Gherardino Riserva  (Chianti Classico),Red Blend,Vignamaggio,1
5198,5198,Italy,"traditional governo method refermenting partially dried grapes , exceptionally smooth offering aromas prune , plum cake , raisin , spice graphite . palate delivers ripe black cherry , plum , cinnamon-spice balsamic note alongside velvety tannins . 's structured , soft already accessible , enjoy soon .",Riserva,90,33.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Querciavalle 2007 Riserva  (Chianti Classico),Red Blend,Querciavalle,1
5249,5249,Italy,"alluring aromas ripe plum , fragrant violet , menthol baking spice emerge savory , enjoyable red . juicy , easy-drinking palate combines enticing weightless quality succulent including fleshy black cherry , crushed raspberry , licorice chopped herb alongside round , polished tannins .",,91,30.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Querciabella 2012  Chianti Classico,Sangiovese,Querciabella,1
5372,5372,Italy,"aromas ripe berry , grilled herb , leather game lead nose . palate offers spiced plum , dried black cherry , mint , espresso , toast vanilla alongside round tannins . drink 2019 .",Bellezza Gran Selezione,89,38.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Gabbiano 2011 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Castello di Gabbiano,1
5774,5774,Italy,"spiced plum , crushed blue flower , black currant whiff warms spice waft glass . high-toned palate delivers ripe blackberry , date dried cherry accented notes nutmeg , licorice black pepper . velvety tannins provide structure .",Scarnocchio,92,99.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Monte del Frà 2009 Scarnocchio  (Amarone della Valpolicella Classico),Red Blend,Monte del Frà,1
5775,5775,Italy,"crushed violet , cake spice ripe black plum aromas lead nose bold . round , full-bodied palate doles juicy black cherry , blackberry jam , cinnamon , licorice hint tobacco alongside ripe , velvety tannins lend polished feel .",,92,65.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Monte Faustino 2010  Amarone della Valpolicella Classico,Red Blend,Monte Faustino,1
5776,5776,Italy,"bold ripe , offers aromas crushed blue flower , ripe plum , mocha exotic spice . opulent , firmly structured palate doles black cherry , blackberry jam , licorice , oak hint coconut alongside tightly knit , fine-grained tannins .",Vigna Garzon,92,79.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Pieropan 2011 Vigna Garzon  (Amarone della Valpolicella),Red Blend,Pieropan,1
5778,5778,Italy,"aromas crushed violet , baked plum , cake spice , ripe berry tobacco pervade bold , full-bodied red . firm palate offers ripe black cherry , fig , mocha , nutmeg , licorice tobacco alongside velvety tannins .",Costasera,92,64.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Masi 2011 Costasera  (Amarone della Valpolicella Classico),Red Blend,Masi,1
6057,6057,Italy,"black-skinned berry , menthol , aromatic herb dark spice aromas 'll find generous red . firm palate shows juicy black cherry , fleshy plum , clove , sage black pepper . 's sleek balanced , polished tannins . drink 2018 .",Le Corti,89,25.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Principe Corsini 2012 Le Corti  (Chianti Classico),Red Blend,Principe Corsini,1
6064,6064,Italy,"aromas baked plum , coconut , scorched earth oak emerge glass . palate offers dried black cherry , oak-driven spice , licorice tobacco alongside firm fine-grained tannins . drink 2016–2021 .",Mocenni Gran Selezione,89,60.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Bindi Sergardi 2011 Mocenni Gran Selezione  (Chianti Classico),Red Blend,Bindi Sergardi,1
